"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","auc1","auc2","auc3","auc4","auc5","auc6"
"f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_var5_30","num_var45_ult1","new_ind_var5_0","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_hace2","f_diff_saldo_medio_var5_ult13","num_var30","num_var4","var15","new_num_var5_0","saldo_var30","f_diff_var_15_larger","ind_comb_rank","abs_f_diff_num_var30_4","num_var5","new_num_var30_0","f_num_quan_70_sum_saldo","ind_var5","0.824171","0.823175","0.815714","0.810005","0.821562","0.810656"
"var15","imp_op_var41_efect_ult1","f_num_3_sum_num","abs_f_ratio_num_var30_saldo_var30","new_num_var30_0","f_diff_var_15_var_36_less_60","new_num_sum","f_diff_saldo_medio_var5_ult13","saldo_medio_var5_ult1","num_var45_hace2","new_ind_sum","nonzerocount.saldo","ind_comb_rank","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_var_15_var_36_cutpoint_smaller","num_var4","var38","n0","nonzerocount.num","0.832208","0.842572","0.836426","0.808852","0.820161","0.830846"
"saldo_var42","f_diff_var_15_var_38","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var30","new_num_prcnt","ind_var5","num_quantile_diff_3","nonzerocount.saldo","abs_f_diff_saldo_var5_30","f_num_quan_70_sum_imp","nonzerocount.num","f_diff_num_var22_ult3_num_med_var45_ult3","num_var35","new_num_sum","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","n0","saldo_medio_var5_ult3","f_num_non_zero_sum_ind","var38","f_diff_var_15_var_36_less_60","0.819156","0.805204","0.818482","0.806983","0.808765","0.806197"
"new_num_sum","f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_0_group5_sum","imp_op_var39_ult1","imp_op_var41_comer_ult1","var38","abs_f_ratio_num_var5_saldo_var5","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_var5_saldo_medio_var5_hace3","var15","f_diff_var_15_var_36_less_60","saldo_medio_var8_ult3","abs_f_diff_num_var30_4","new_num_prcnt","imp_op_var41_efect_ult3","saldo_medio_var8_ult1","num_meses_var5_ult3","saldo_medio_var5_hace2","num_var22_ult1","ind_var30","0.823517","0.841164","0.83574","0.812679","0.837016","0.828549"
"f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var35","nonzerocount.saldo","saldo_medio_var5_hace2","saldo_medio_var5_hace3","saldo_var37","abs_f_ratio_num_var30_saldo_var30","new_num_group5_sum","f_diff_imp_op_var41_comer_ult13","f_diff_saldo_medio_var5_ult13","ind_var5","num_var5","ind_var30","ind_comb_rank","imp_op_var39_efect_ult3","var15","f_num_non_zero_sum_ind","abs_f_diff_saldo_medio_var5_8_ult11","0.823832","0.823408","0.823751","0.806324","0.813709","0.821732"
"saldo_var5","saldo_var42","abs_f_diff_num_var30_4","saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_of_used","num_var30","ind_var30","abs_f_diff_saldo_medio_var5_ult13","f_diff_num_var30_4","new_num_group5_sum","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var8","new_ftr_ult1_ult3_ratio_saldo_medio_var5","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var8_ult1","var15","saldo_medio_var5_ult3","nonzerocount.num","ind_comb_rank","0.824157","0.831632","0.80313","0.803807","0.827767","0.81812"
"f_num_quan_70_sum_saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_hace2","var15","f_diff_saldo_medio_var5_ult13","max.saldo","num_meses_var39_vig_ult3","num_meses_var5_ult3","var38","new_ind_group5_sum","f_diff_var_15_var_36_rank","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_sum","f_num_3_sum_num","var36","saldo_medio_var5_hace3","new_ind_var5_0","f_diff_saldo_medio_var5_8_ult11","0.835451","0.826819","0.832734","0.808516","0.831924","0.805862"
"num_var22_ult3","var15","num_var8_0","num_var4","imp_op_var41_ult1","var38","num_var30_0","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","nonzerocount.num","f_diff_num_var30_4","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_ratio_num_var30_saldo_var30","new_num_prcnt","abs_f_ratio_num_var5_saldo_var5","new_num_group5_sum","max.saldo","f_diff_var_15_larger","new_ind_sum","f_diff_var_15_var_36_less_60","new_num_group5_prcnt","0.835873","0.837253","0.838494","0.826793","0.836893","0.831798"
"num_var42","max.saldo","new_ftr_ult1_ult3_ratio_num_var45","saldo_var30","f_diff_var_15_var_36_rank","f_num_quan_70_sum_saldo","n0","nonzerocount.saldo","f_diff_saldo_var5_saldo_medio_var5_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ind_sum","num_med_var45_ult3","f_ratio_num_var42_saldo_var42","f_num_non_zero_sum_ind","var15","sald0_quantile_diff_3","saldo_medio_var5_ult1","f_diff_var_15_larger","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var8_ult1","0.832637","0.833128","0.828994","0.810191","0.820646","0.808704"
"abs_f_ratio_num_var5_saldo_var5","saldo_medio_var5_ult1","sald0_quantile_diff_1","abs_f_diff_num_var30_4","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_ftr_ult1_ult3_ratio_num_var45","f_diff_saldo_medio_var5_8_ult11","num_var4","num_of_used","f_diff_saldo_var5_saldo_medio_var5_hace3","num_var30","f_num_non_zero_sum_ind","f_diff_var_15_var_36_cutpoint_smaller","saldo_var30","saldo_var5","num_var45_hace3","num_var42","num_var5","var15","saldo_medio_var5_hace3","0.825374","0.833093","0.829569","0.806306","0.827161","0.81975"
"f_diff_var_15_var_36_less_60","imp_ent_var16_ult1","f_diff_num_var45_ult13","f_diff_num_var30_4","imp_op_var41_efect_ult1","f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_var30_0","var38","abs_f_ratio_num_var30_saldo_var30","num_meses_var39_vig_ult3","f_diff_var_15_var_36_rank","f_diff_var_15_larger","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_meses_var5_ult3","num_var45_hace3","num_var42","sald0_quantile_diff_1","nonzerocount.num","0.839418","0.815211","0.83653","0.826183","0.82243","0.827473"
"new_ftr_ult1_ult3_ratio_num_var22","f_num_quan_70_sum_saldo","var38","new_num_group5_sum","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_36_rank","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var4","new_num_var5_0","f_diff_imp_op_var39_comer_ult13","abs_f_diff_saldo_var5_30","num_var35","var15","f_diff_num_var22_ult3_num_med_var45_ult3","saldo_medio_var5_hace3","f_diff_var_15_var_36_less_60","num_of_used","saldo_medio_var5_hace2","imp_op_var41_ult1","0.840403","0.842051","0.837884","0.819575","0.813597","0.829441"
"f_diff_num_var30_4","ind_var30","abs_f_diff_saldo_medio_var5_ult13","num_var22_ult1","num_var4","num_quantile_diff_3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var38","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_ratio_num_var30_saldo_var30","f_num_quan_70_sum_saldo","var15","f_num_non_zero_sum_ind","f_diff_imp_op_var39_comer_ult13","sald0_quantile_diff_1","saldo_medio_var8_ult3","f_diff_var_15_var_38","saldo_medio_var5_hace2","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","nonzerocount.saldo","0.83298","0.827221","0.821255","0.812477","0.837232","0.830202"
"new_num_group5_sum","num_var45_hace2","var15","saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_prcnt","num_meses_var5_ult3","ind_var30","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var22_ult3","imp_op_var41_efect_ult1","f_diff_var_15_var_36_cutpoint_smaller","f_num_quan_70_sum_imp","num_var45_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var30","max.saldo","f_diff_var_15_var_38","0.836399","0.837956","0.833966","0.825288","0.833338","0.828578"
"new_num_sum","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_8_ult11","num_var45_hace3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_ult13","abs_f_diff_saldo_var5_30","new_num_var30_0","f_diff_imp_op_var41_efect_comer_ult1","saldo_var30","f_diff_num_var45_ult13","var38","saldo_medio_var5_hace2","num_meses_var39_vig_ult3","ind_comb_rank","imp_trans_var37_ult1","saldo_medio_var5_ult1","f_diff_var_15_var_36_cutpoint_smaller","saldo_medio_var5_hace3","f_diff_var_15_var_36_less_60","0.837682","0.836904","0.815274","0.820975","0.835415","0.821588"
"nonzerocount.saldo","num_var22_hace2","new_num_var5_0","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_ult13","var15","num_var4","num_quantile_diff_3","num_var5","abs_f_diff_saldo_var5_30","max.saldo","new_num_prcnt","new_num_group5_prcnt","ind_var30","new_ind_group5_sum","f_ratio_num_var42_saldo_var42","new_ind_var5_0","sald0_quantile_diff_3","num_var45_hace2","sald0_quantile_diff_2","0.822536","0.822599","0.820177","0.801662","0.825782","0.819694"
"num_var30","f_diff_num_var30_4","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","n0","saldo_medio_var5_hace2","num_var45_ult1","num_var5","f_diff_var_15_var_36_less_60","imp_trans_var37_ult1","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_38","ind_var5","new_ind_var30_0","saldo_medio_var8_ult3","f_diff_saldo_var5_saldo_medio_var5_hace3","num_meses_var39_vig_ult3","new_num_prcnt","saldo_medio_var5_ult1","new_ind_group5_sum","var15","0.83871","0.841451","0.834678","0.823102","0.818911","0.827437"
"f_diff_var_15_var_36_less_60","abs_f_ratio_num_var30_saldo_var30","max.saldo","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_cutpoint_smaller","num_meses_var39_vig_ult3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","nonzerocount.saldo","num_var5","f_diff_var_15_var_36_rank","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_8_ult11","ind_var30","var36","f_diff_num_var30_4","imp_trans_var37_ult1","num_var4","ind_var5","abs_f_diff_num_var30_4","abs_f_diff_imp_op_var41_efect_comer_ult1","0.82561","0.813822","0.828236","0.805079","0.814302","0.803993"
"f_diff_var_15_var_36_less_60","max.saldo","new_ind_var5_0","n0","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_36_cutpoint_smaller","abs_f_ratio_num_var30_saldo_var30","var36","ind_comb_rank","var15","ind_var30","f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var5_ult3","new_ind_sum","sald0_quantile_diff_1","nonzerocount.saldo","num_of_used","abs_f_diff_saldo_medio_var5_8_ult11","saldo_var30","f_diff_var_15_var_36_rank","0.832922","0.833595","0.818736","0.805851","0.818186","0.807941"
"saldo_var42","num_meses_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_hace3","new_ind_var5_0","num_var35","abs_f_ratio_num_var30_saldo_var30","num_var22_ult3","num_var42","f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_sum","new_num_prcnt","new_num_var5_0","num_of_used","max.saldo","f_diff_var_15_var_36_less_60","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_36_cutpoint_smaller","saldo_var30","abs_f_diff_saldo_var5_30","f_diff_var_15_var_38","0.814755","0.834262","0.819152","0.807476","0.819043","0.806686"
"var36","f_diff_saldo_medio_var5_8_ult11","imp_op_var41_efect_ult3","saldo_var37","num_var22_ult1","saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_var45_ult3","num_quantile_diff_3","ind_comb_rank","saldo_medio_var5_hace3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_var5_30","sald0_quantile_diff_1","new_num_var30_0","f_diff_var_15_var_38","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_num_group5_sum","f_diff_var_15_var_36_less_60","0.819895","0.826122","0.820303","0.807388","0.821627","0.809696"
"f_diff_var_15_var_38","f_num_3_sum_num","num_meses_var39_vig_ult3","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_imp_op_var39_comer_ult13","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var45_hace3","var15","f_diff_var_15_var_36_rank","saldo_var5","new_ftr_ult1_ult3_ratio_saldo_medio_var5","ind_var5","saldo_var42","abs_f_diff_saldo_var5_30","saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","imp_op_var39_comer_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var4","0.831703","0.829611","0.819409","0.816524","0.830878","0.825218"
"new_ind_sum","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_medio_var5_8_ult11","imp_var43_emit_ult1","f_diff_var_15_var_38","abs_f_ratio_num_var30_saldo_var30","ind_var30","sald0_quantile_diff_2","sald0_quantile_diff_1","ind_var5","saldo_medio_var5_hace3","ind_comb_rank","new_num_prcnt","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_ult3","new_num_group5_prcnt","var15","num_quantile_diff_1","f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_medio_var5_ult13","0.841005","0.827273","0.829262","0.822879","0.828322","0.828008"
"f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var5_hace3","num_var45_hace3","num_of_used","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_var5_saldo_medio_var5_hace3","num_var22_hace3","num_var22_ult3","num_var45_hace2","f_diff_var_15_var_36_rank","new_num_sum","nonzerocount.saldo","new_ftr_ult1_ult3_ratio_saldo_medio_var5","f_diff_var_15_var_38","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_var5_30","max.saldo","ind_comb_rank","abs_f_ratio_num_var30_saldo_var30","var15","0.841081","0.842206","0.838852","0.81137","0.820288","0.82948"
"f_diff_var_15_larger","new_ind_sum","num_var42","f_diff_var_15_var_36_rank","num_meses_var5_ult3","num_var45_ult1","abs_f_ratio_num_var5_saldo_var5","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","ind_comb_rank","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_medio_var5_ult1","new_num_var30_0","saldo_var30","f_diff_var_15_var_38","num_var4","num_var35","num_of_used","saldo_var5","max.saldo","f_diff_saldo_var5_saldo_medio_var5_ult1","0.836517","0.837957","0.833177","0.809588","0.823691","0.823393"
"new_ind_sum","new_num_group5_prcnt","saldo_var30","var15","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_non_zero_sum_ind","f_diff_var_15_var_36_cutpoint_smaller","sald0_quantile_diff_3","abs_f_diff_saldo_var5_30","new_ftr_ult1_ult3_ratio_num_var45","num_var45_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_num_var30_4","num_quantile_diff_3","n0","num_quantile_diff_1","new_ind_var30_0","num_var42","0.833793","0.828437","0.824469","0.803701","0.814334","0.820272"
"new_ind_sum","saldo_var5","nonzerocount.num","new_ftr_ult1_ult3_ratio_num_var22","saldo_medio_var5_hace3","num_quantile_diff_1","f_ratio_num_var42_saldo_var42","new_ind_0_group5_sum","var15","abs_f_ratio_num_var5_saldo_var5","ind_var30","num_var45_hace3","f_diff_num_var30_4","new_ind_group5_sum","abs_f_diff_saldo_medio_var5_8_ult11","nonzerocount.saldo","abs_f_diff_saldo_medio_var5_ult13","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_of_used","saldo_var30","0.831553","0.828644","0.824158","0.808561","0.821001","0.807976"
"f_ratio_num_var42_saldo_var42","num_var22_hace3","f_diff_var_15_larger","f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_num_var45_ult13","num_of_used","num_quantile_diff_3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_meses_var39_vig_ult3","num_var45_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_imp_op_var41_efect_comer_ult1","saldo_var30","f_diff_var_15_var_36_less_60","imp_op_var41_efect_ult1","f_diff_var_15_var_36_cutpoint_smaller","var15","saldo_medio_var5_hace3","new_ind_var5_0","ind_comb_rank","0.829306","0.836722","0.832015","0.814971","0.828336","0.810237"
"f_diff_var_15_larger","f_num_non_zero_sum_ind","f_diff_var_15_var_36_rank","new_ind_sum","num_var4","var15","saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_ult1","num_quantile_diff_3","new_num_group5_prcnt","saldo_var5","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var30","num_var45_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_36_cutpoint_smaller","num_meses_var39_vig_ult3","num_of_used","num_var22_hace3","0.832787","0.835048","0.821333","0.80716","0.816779","0.822058"
"f_num_non_zero_sum_ind","imp_trans_var37_ult1","imp_op_var39_efect_ult1","f_diff_var_15_var_36_rank","f_diff_saldo_var5_saldo_medio_var5_ult1","new_ind_group5_sum","nonzerocount.num","abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_larger","sald0_quantile_diff_3","saldo_medio_var5_hace2","num_var22_ult1","num_med_var22_ult3","f_diff_saldo_medio_var5_ult13","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_num_var30_4","imp_op_var41_efect_ult3","var38","num_var42","saldo_medio_var8_ult3","0.837094","0.840123","0.836469","0.826288","0.819926","0.829488"
"f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var35","num_var30","max.saldo","f_diff_var_15_larger","f_diff_saldo_medio_var5_ult13","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_medio_var5_8_ult11","var15","f_diff_num_var30_4","f_diff_saldo_var5_saldo_medio_var5_hace3","new_ind_var5_0","f_diff_var_15_var_36_cutpoint_smaller","f_ratio_num_var42_saldo_var42","num_meses_var5_ult3","num_var4","saldo_medio_var8_ult3","f_diff_var_15_var_38","f_diff_num_var22_ult3_num_med_var45_ult3","new_ind_group5_sum","0.837491","0.838947","0.832082","0.821236","0.834124","0.820952"
"num_quantile_diff_1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","ind_var5","sald0_quantile_diff_2","abs_f_diff_num_var22_ult3_num_med_var45_ult3","num_var4","saldo_medio_var5_ult1","var15","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_var_15_var_36_rank","nonzerocount.saldo","f_diff_num_var30_4","n0","abs_f_ratio_num_var30_saldo_var30","num_quantile_diff_3","ind_var30","new_ind_0_group5_sum","saldo_medio_var5_hace2","abs_f_diff_imp_op_var41_efect_comer_ult1","new_ftr_ult1_ult3_ratio_num_var45","0.831045","0.823387","0.831117","0.807908","0.819729","0.823646"
"nonzerocount.num","f_diff_var_15_var_38","num_of_used","f_num_quan_70_sum_saldo","f_diff_var_15_var_36_rank","f_diff_var_15_larger","saldo_medio_var5_hace3","imp_op_var39_ult1","new_num_group5_prcnt","saldo_medio_var5_ult3","new_num_var5_0","num_var30","num_var22_hace2","new_ind_sum","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var5","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_num_group5_sum","f_diff_saldo_var5_saldo_medio_var5_ult1","new_ind_var5_0","0.803552","0.815152","0.818214","0.804761","0.819225","0.825762"
"new_ind_var30_0","f_diff_num_var30_4","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_var_36_rank","saldo_medio_var5_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_var42","f_diff_imp_op_var39_comer_ult13","new_num_prcnt","saldo_var5","new_ind_var5_0","ind_comb_rank","f_num_quan_70_sum_saldo","num_var45_hace3","num_var5","f_diff_var_15_var_36_less_60","sald0_quantile_diff_1","abs_f_diff_num_var30_4","f_diff_num_var45_ult13","0.833496","0.80698","0.827093","0.814787","0.815298","0.803256"
