"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"num_var22_ult1","f_diff_var_15_var_38","var38","nonzerocount.saldo","new_num_var8_0","imp_op_var39_comer_ult1","saldo_var42","saldo_medio_var5_ult3","imp_op_var41_ult1","f_diff_saldo_medio_var5_8_ult11","saldo_medio_var5_hace2","new_num_var30_0","num_var45_hace2","new_num_prcnt","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var45_ult1","var15_ratio","saldo_medio_var5_ult1","f_num_quan_70_sum_saldo","new_ind_var30_0","f_diff_var_15_larger","num_var30","imp_op_var41_comer_ult1","saldo_medio_var8_ult1","ind_var30","abs_f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_36_cutpoint_smaller","0.826441","0.84212","0.818114","0.816599","0.838171","0.831472","0.839037","0.807808","0.835122","0.848495"
"sald0_quantile_diff_1","f_diff_var_15_var_36_rank","num_quantile_diff_1","nonzerocount.saldo","f_ratio_num_var42_saldo_var42","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_hace3","f_diff_var_15_larger","saldo_var42","num_var22_ult1","saldo_var30","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_36_less_60","sald0_quantile_diff_2","imp_op_var41_comer_ult3","ind_comb_rank","new_num_group5_prcnt","saldo_medio_var5_hace2","num_var45_ult3","new_ftr_ult1_ult3_ratio_num_var22","max.saldo","f_diff_saldo_medio_var5_8_ult11","num_var5","var15_ratio","f_diff_saldo_medio_var5_ult13","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var42","ind_var30","var38_ratio","new_num_prcnt","0.843259","0.841959","0.838875","0.812137","0.826772","0.810477","0.82018","0.826778","0.828898","0.839796"
"saldo_var37","var38_ratio","num_var45_ult1","f_diff_var_15_larger","num_var4","f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_36_cutpoint_smaller","num_meses_var39_vig_ult3","num_var45_hace2","var15_ratio","new_num_group5_prcnt","ind_comb_rank","var38","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var22_hace3","abs_f_diff_imp_op_var41_efect_comer_ult1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_num_quan_70_sum_saldo","saldo_var5","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_of_used","new_num_group5_sum","f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_var5_0","saldo_medio_var5_ult3","imp_op_var39_ult1","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var22_ult3","new_ind_sum","f_diff_var_15_var_38","0.842528","0.813609","0.836349","0.805639","0.835117","0.830022","0.838508","0.802377","0.83422","0.847766"
"num_var42","saldo_var5","num_var35","f_diff_saldo_medio_var5_8_ult11","num_meses_var5_ult3","imp_trans_var37_ult1","var15","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_var22_ult1","f_diff_num_var45_ult13","f_diff_num_var22_ult3_num_med_var45_ult3","f_num_quan_70_sum_saldo","var15_ratio","new_num_prcnt","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_rank","ind_comb_rank","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_ult1","new_num_sum","nonzerocount.num","new_ind_0_group5_sum","new_ind_var30_0","abs_f_diff_saldo_var5_30","num_var30","saldo_medio_var5_ult1","saldo_medio_var5_hace3","saldo_var30","imp_op_var41_ult1","f_diff_var_15_var_38","0.834727","0.846814","0.821467","0.812479","0.825321","0.833079","0.840192","0.828902","0.836546","0.84879"
"max.saldo","sald0_quantile_diff_2","imp_trans_var37_ult1","f_diff_var_15_var_36_cutpoint_smaller","num_var22_ult1","ind_comb_rank","var38_ratio","nonzerocount.num","saldo_var5","num_of_used","new_num_var30_0","f_diff_var_15_larger","num_var5","imp_op_var39_comer_ult1","var15_ratio","f_diff_saldo_var5_saldo_medio_var5_hace3","num_meses_var5_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var42","num_var22_hace2","f_diff_var_15_var_36_less_60","f_diff_var_15_var_38","f_diff_num_var30_4","abs_f_ratio_num_var30_saldo_var30","f_ratio_num_var42_saldo_var42","nonzerocount.saldo","new_ind_var30_0","var36","num_quantile_diff_3","new_num_sum","0.826886","0.816386","0.83722","0.826796","0.818973","0.806578","0.838579","0.827077","0.832549","0.847722"
"n0","abs_f_diff_saldo_var5_42","new_num_sum","imp_op_var41_comer_ult3","num_var45_hace2","f_ratio_num_var42_saldo_var42","num_var22_ult3","ind_comb_rank","num_var45_ult1","num_of_used","new_num_prcnt","new_num_group5_prcnt","num_meses_var39_vig_ult3","imp_op_var41_ult1","var15","var38_ratio","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","var15_ratio","f_diff_saldo_var5_saldo_medio_var5_ult1","sald0_quantile_diff_3","saldo_medio_var8_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","num_med_var45_ult3","abs_f_ratio_num_var30_saldo_var30","num_var42","f_diff_var_15_var_36_less_60","saldo_medio_var8_ult3","f_diff_var_15_var_38","f_num_quan_70_sum_saldo","0.842759","0.844206","0.840395","0.828268","0.837054","0.813496","0.841106","0.826396","0.819547","0.840864"
"saldo_medio_var8_ult1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_group5_sum","abs_f_ratio_num_var30_saldo_var30","num_of_used","var38","f_diff_var_15_var_36_less_60","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_medio_var5_hace3","abs_f_diff_num_var30_4","f_num_non_zero_sum_ind","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","nonzerocount.saldo","f_diff_imp_op_var41_efect_comer_ult1","ind_comb_rank","f_diff_var_15_var_36_cutpoint_smaller","ind_var30","num_var42","f_diff_var_15_var_36_rank","imp_trans_var37_ult1","num_meses_var5_ult3","f_diff_num_var45_ult13","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var22_hace2","ind_var5","sald0_quantile_diff_1","imp_op_var41_ult1","num_quantile_diff_3","abs_f_diff_imp_op_var41_efect_comer_ult1","0.816301","0.83876","0.836422","0.822875","0.821921","0.825214","0.825709","0.822394","0.82934","0.842591"
"f_diff_saldo_medio_var5_ult13","saldo_var42","ind_comb_rank","f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_var_15_var_36_rank","saldo_medio_var5_ult3","new_ind_var5_0","new_ftr_ult1_ult3_ratio_saldo_medio_var5","f_diff_var_15_var_36_less_60","abs_f_ratio_num_var5_saldo_var5","num_med_var22_ult3","new_num_var5_0","abs_f_diff_saldo_var5_30","num_var42","f_num_3_sum_num","new_ind_sum","imp_op_var39_efect_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","ind_var30","var38","abs_f_ratio_num_var30_saldo_var30","saldo_var30","f_diff_var_15_var_38","num_meses_var5_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var35","num_var45_ult1","saldo_medio_var5_ult1","imp_op_var41_ult1","new_ind_var30_0","0.83769","0.81104","0.837971","0.828866","0.835045","0.828621","0.83739","0.824002","0.834426","0.822855"
"new_ind_var5_0","sald0_quantile_diff_3","ind_comb_rank","saldo_var5","f_diff_var_15_var_38","new_ind_sum","ind_var30","num_med_var22_ult3","abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_var_36_less_60","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var36","abs_f_diff_num_var30_4","num_var5","sald0_quantile_diff_2","nonzerocount.num","abs_f_diff_saldo_var5_30","var38_ratio","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ind_var30_0","saldo_medio_var5_hace2","f_num_3_sum_num","max.saldo","var15_ratio","saldo_medio_var5_ult3","saldo_medio_var5_hace3","num_var30","f_diff_var_15_var_36_rank","f_diff_var_15_larger","num_of_used","0.841505","0.826946","0.806995","0.808485","0.823646","0.808316","0.838888","0.806556","0.826521","0.831206"
"num_var42","new_num_var30_0","new_num_sum","abs_f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var36","var38","saldo_medio_var5_hace3","new_num_prcnt","new_ind_sum","num_med_var45_ult3","ind_comb_rank","new_num_group5_sum","f_diff_var_15_var_38","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_var30","new_num_group5_prcnt","f_diff_num_var45_ult13","ind_var30","num_var35","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var42","f_diff_var_15_var_36_cutpoint_smaller","imp_op_var41_efect_ult1","num_var22_hace3","imp_op_var39_efect_ult1","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var22_ult1","0.837978","0.827658","0.816672","0.824546","0.827476","0.824856","0.832637","0.802941","0.814884","0.840985"
"num_var4","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_ratio_num_var42_saldo_var42","f_diff_num_var30_4","f_diff_saldo_var5_saldo_medio_var5_hace2","ind_var30","var38","imp_var43_emit_ult1","saldo_medio_var5_hace3","nonzerocount.saldo","num_var35","num_var42","num_var45_hace3","abs_f_ratio_num_var30_saldo_var30","ind_comb_rank","f_diff_var_15_var_36_rank","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","imp_op_var39_efect_ult1","f_diff_var_15_larger","num_quantile_diff_3","saldo_medio_var5_hace2","f_num_quan_70_sum_saldo","new_num_prcnt","nonzerocount.num","abs_f_diff_imp_op_var41_efect_comer_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","imp_ent_var16_ult1","saldo_var42","0.818538","0.821622","0.836416","0.814092","0.825837","0.828562","0.822613","0.825617","0.821355","0.845036"
"num_var4","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var30","f_diff_var_15_var_36_less_60","new_num_prcnt","f_diff_saldo_var5_saldo_medio_var5_hace3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","abs_f_diff_num_var30_4","new_ind_group5_sum","n0","max.saldo","var15","abs_f_diff_saldo_var5_30","num_var42","new_num_var30_0","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_ult13","new_ind_var30_0","num_var45_hace3","num_med_var45_ult3","saldo_var30","saldo_medio_var5_hace2","abs_f_ratio_num_var30_saldo_var30","imp_trans_var37_ult1","num_var22_hace3","abs_f_diff_saldo_var5_42","num_var45_ult3","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_group5_sum","0.830154","0.823964","0.827003","0.813372","0.817694","0.806612","0.816631","0.809836","0.817513","0.834248"
"f_num_quan_70_sum_saldo","abs_f_diff_saldo_var5_30","num_var45_hace2","abs_f_ratio_num_var30_saldo_var30","new_num_var8_0","num_quantile_diff_1","num_var45_ult1","f_diff_var_15_var_36_rank","n0","num_var22_ult3","f_diff_var_15_var_36_cutpoint_smaller","nonzerocount.saldo","new_ind_0_group5_sum","var38_ratio","abs_f_diff_imp_op_var41_efect_comer_ult1","abs_f_diff_saldo_medio_var5_8_ult11","saldo_var30","saldo_medio_var5_ult1","num_med_var45_ult3","ind_comb_rank","new_ind_sum","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","var15","new_num_group5_prcnt","var38","num_of_used","new_ind_var30_0","num_meses_var5_ult3","imp_op_var41_comer_ult1","f_diff_imp_op_var41_efect_comer_ult1","0.845261","0.844725","0.839838","0.828629","0.832922","0.81242","0.84162","0.827218","0.836834","0.849988"
"new_num_prcnt","f_diff_var_15_var_38","ind_var30","var38","new_ftr_ult1_ult3_ratio_saldo_medio_var5","ind_var5","new_num_sum","abs_f_diff_num_var30_4","new_ind_var5_0","num_var4","num_med_var45_ult3","abs_f_diff_saldo_var5_30","new_ind_sum","num_var35","var15","f_diff_num_var45_ult13","saldo_var5","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_num_var30_0","saldo_var42","f_num_quan_70_sum_saldo","num_var45_hace3","var15_ratio","abs_f_diff_saldo_medio_var5_8_ult11","num_meses_var39_vig_ult3","saldo_medio_var5_hace2","var38_ratio","max.saldo","num_var45_hace2","f_diff_var_15_var_36_less_60","0.841429","0.839851","0.818297","0.825118","0.837017","0.828972","0.838122","0.823765","0.833366","0.838808"
"num_var22_ult3","f_diff_var_15_larger","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var30","abs_f_ratio_num_var30_saldo_var30","var15","f_diff_var_15_var_38","num_var45_hace3","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_rank","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_var5_30","abs_f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var42","imp_var43_emit_ult1","num_var45_ult3","new_num_sum","f_diff_num_var30_4","num_quantile_diff_1","saldo_var5","new_ftr_ult1_ult3_ratio_num_var22","var38_ratio","imp_op_var41_efect_ult3","saldo_medio_var5_hace2","ind_var30","num_med_var22_ult3","saldo_medio_var5_hace3","0.842477","0.824303","0.837824","0.827441","0.835428","0.833933","0.841","0.826374","0.837101","0.849629"
"nonzerocount.saldo","new_num_sum","num_var45_hace3","saldo_medio_var5_ult1","imp_op_var39_ult1","ind_var5","saldo_medio_var5_hace3","new_num_prcnt","num_med_var45_ult3","new_ind_var30_0","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_36_rank","new_num_group5_prcnt","nonzerocount.num","new_num_var8_0","new_ind_sum","var38_ratio","saldo_medio_var8_ult3","num_var22_hace2","num_of_used","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var45_hace2","f_num_quan_70_sum_saldo","new_num_group5_sum","f_diff_var_15_var_36_less_60","imp_op_var39_efect_ult3","f_num_3_sum_num","var15","new_ftr_ult1_ult3_ratio_num_var45","var38","0.830854","0.822807","0.818696","0.819673","0.834159","0.830023","0.839334","0.825449","0.835176","0.847997"
"new_ftr_ult1_ult3_ratio_num_var45","new_ind_sum","ind_var5","num_var22_hace2","imp_trans_var37_ult1","ind_var30","var15_ratio","num_var45_ult3","f_diff_var_15_larger","ind_comb_rank","imp_ent_var16_ult1","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_meses_var39_vig_ult3","f_num_non_zero_sum_ind","abs_f_diff_imp_op_var41_efect_comer_ult1","saldo_medio_var5_hace3","num_var30","num_med_var45_ult3","max.saldo","f_diff_num_var30_4","saldo_var30","saldo_medio_var8_ult3","new_num_group5_prcnt","new_num_prcnt","abs_f_diff_saldo_var5_30","var38_ratio","abs_f_ratio_num_var5_saldo_var5","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","nonzerocount.saldo","0.830594","0.840363","0.829283","0.819203","0.837215","0.830232","0.839077","0.82738","0.824482","0.841751"
"n0","f_diff_var_15_var_38","num_meses_var5_ult3","saldo_medio_var5_ult1","f_diff_saldo_medio_var5_8_ult11","new_num_var5_0","f_diff_var_15_var_36_less_60","new_ind_sum","saldo_medio_var5_hace2","var15_ratio","num_var45_hace3","new_num_var30_0","f_diff_saldo_medio_var5_ult13","saldo_var42","new_ind_var30_0","abs_f_diff_num_var30_4","saldo_medio_var8_ult1","var15","num_var5","var38","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_imp_op_var41_efect_comer_ult1","num_quantile_diff_3","var36","f_diff_var_15_var_36_rank","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_num_group5_prcnt","ind_var5","f_diff_var_15_larger","num_var35","0.840507","0.841972","0.835098","0.825725","0.837478","0.829705","0.837441","0.810202","0.810515","0.847325"
"nonzerocount.saldo","f_num_non_zero_sum_ind","saldo_medio_var5_hace2","sald0_quantile_diff_1","f_diff_var_15_var_38","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_var5_0","abs_f_diff_saldo_var5_30","f_num_quan_70_sum_saldo","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_med_var45_ult3","new_num_group5_prcnt","f_diff_var_15_var_36_less_60","num_var5","imp_op_var41_comer_ult1","f_diff_var_15_var_36_rank","num_var30","saldo_var5","num_var4","abs_f_diff_saldo_medio_var5_ult13","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_8_ult11","saldo_var30","imp_op_var41_efect_ult1","saldo_var8","f_diff_var_15_larger","saldo_medio_var5_ult1","imp_trans_var37_ult1","var36","abs_f_diff_saldo_medio_var5_8_ult11","0.838247","0.839079","0.836883","0.826545","0.835782","0.824856","0.834946","0.822478","0.829576","0.845417"
